Timestamp,Trailer Title,Question,User Answer,Status,AI Feedback
2026-01-02 14:25:52,The Lion King (2019),What was this movie trailer about?,the movie is about the lions ,PASS,Good job.
2026-01-02 14:25:59,The Lion King (2019),What did you like specifically in this video?,dsgsdfrgdfsg,FAIL,Gibberish Please type a meaningful answer.
2026-01-02 14:26:22,The Lion King (2019),What did you like specifically in this video?,the lion and the forest  ,FAIL,Grammar Error Your sentence is grammatically incorrect. Please write a proper sentence.
2026-01-02 14:26:42,The Lion King (2019),What did you like specifically in this video?,i love whole trailor ,PASS,Good job.
2026-01-02 14:27:02,The Lion King (2019),What was the most memorable scene?,when lion  roar  i love that part ,FAIL,Grammar Error Your sentence is grammatically incorrect. Please write a proper sentence.
2026-01-02 14:27:27,The Lion King (2019),What was the most memorable scene?,i love the  roar part ,PASS,Good job.
2026-01-02 14:36:33,Oppenheimer,What was this movie trailer about?,the movie is about the bomb and the destruction of the japan  ,PASS,Good job.
2026-01-02 14:37:44,Oppenheimer,What did you like specifically in this video?,i like the hero and the actions in the trailor ,PASS,Good job.
2026-01-02 14:37:51,Oppenheimer,What was the most memorable scene?,rgoderfge,FAIL,Gibberish Please type a meaningful answer.
2026-01-02 14:38:09,Oppenheimer,What was the most memorable scene?,when bomb  blast i love that part ,FAIL,Grammar Error Your sentence is grammatically incorrect. Please write a proper sentence.
2026-01-02 14:38:38,Oppenheimer,What was the most memorable scene?,when hero drives the car ,FAIL,Grammar Error Your sentence is grammatically incorrect. Please write a proper sentence.
2026-01-03 09:23:45,Avengers: Endgame,What was this movie trailer about?,edfterwtgf,FAIL,Gibberish Please type a meaningful answer.
2026-01-03 11:29:29,Top Gun: Maverick,What was this movie trailer about?,THE MOVIE  IS  ABOUT Racing and bike,FAIL,Irrelevant That doesn't match the video content.
2026-01-03 11:46:43,The Lion King (2019),What was this movie trailer about?,dsfhgfvdshgfisd,ERROR,"API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 15.610930422s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 20
}
, retry_delay {
  seconds: 15
}
]"
2026-01-03 11:51:29,Interstellar,What was this movie trailer about?,dsfgdsfgdsf,ERROR,"API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 29.933674691s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.5-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 20
}
, retry_delay {
  seconds: 29
}
]"
